SRC	TRG	PINYIN_STR	PINYIN_CHAR
c h o a t	乔 特	qiao te	q i a o t e
c a l e y	卡 利	ka li	k a l i
d e v e r e u x	德 弗 罗	de fu luo	d e f u l u o
g e r i	格 里	ge li	g e l i
g e r l y	杰 利	jie li	j i e l i
r e i n i s c h	赖 尼 希	lai ni xi	l a i n i x i
g e n e l	吉 尼 尔	ji ni er	j i n i e r
g a m a g e	加 米 奇	jia mi qi	j i a m i q i
k e i t h	基 思	ji si	j i s i
s c l a t e r	斯 克 莱 特	si ke lai te	s i k e l a i t e
d i c k i n s	迪 金 斯	di jin si	d i j i n s i
c a m i n a t a	卡 米 纳 塔	ka mi na ta	k a m i n a t a
g a n e l	加 内 尔	jia nei er	j i a n e i e r
e d e l s a c k	埃 德 尔 萨 克	ai de er sa ke	a i d e e r s a k e
p u l s	普 尔 斯	pu er si	p u e r s i
b o d l e y	博 德 利	bo de li	b o d e l i
b i g l a n d	比 格 兰	bi ge lan	b i g e l a n
c u m b e r l e g e	坎 伯 利 奇	kan bo li qi	k a n b o l i q i
q u a i n t o n	昆 顿	kun dun	k u n d u n
a n s t e y	安 斯 蒂	an si di	a n s i d i
h a t t e r	哈 特	ha te	h a t e
d i f f r i e n t	迪 夫 里 恩 特	di fu li en te	d i f u l i e n t e
o l s l a g e r	奥 尔 斯 莱 格	ao er si lai ge	a o e r s i l a i g e
m c n i c o l	麦 克 尼 科 尔	mai ke ni ke er	m a i k e n i k e e r
f i s c h b a c h	菲 施 巴 赫	fei shi ba he	f e i s h i b a h e
s o h l e r	索 莱 尔	suo lai er	s u o l a i e r
c o r i s a n d e	科 丽 桑 德	ke li sang de	k e l i s a n g d e
g e h m a n	格 曼	ge man	g e m a n
c r i s t o b a l	克 里 斯 托 巴 尔	ke li si tuo ba er	k e l i s i t u o b a e r
o u g h a m	奥 厄 姆	ao e mu	a o e m u
d r i n n o n	德 林 农	de lin nong	d e l i n n o n g
m a h l e r	马 勒	ma le	m a l e
a y s c o u g h	艾 斯 库	ai si ku	a i s i k u
t e n c h	坦 奇	tan qi	t a n q i
m a l l y	玛 莉	ma li	m a l i
m a s s a r o	马 萨 罗	ma sa luo	m a s a l u o
m i s c h e r	米 舍	mi she	m i s h e
z o g b a u m	佐 格 鲍 姆	zuo ge bao mu	z u o g e b a o m u
m c l e l l a n d	麦 克 利 兰	mai ke li lan	m a i k e l i l a n
b o w m o n t	鲍 蒙 特	bao meng te	b a o m e n g t e
k a m e r o n	卡 梅 伦	ka mei lun	k a m e i l u n
g r e n e l l	格 雷 内 尔	ge lei nei er	g e l e i n e i e r
s c h w a m b e r g e r	施 万 伯 格	shi wan bo ge	s h i w a n b o g e
t e a p e	蒂 普	di pu	d i p u
c r e w	克 鲁	ke lu	k e l u
l e i b e l	利 贝 尔	li bei er	l i b e i e r
b r e n n e c k e	布 伦 内 克	bu lun nei ke	b u l u n n e i k e
c a n n y	坎 尼	kan ni	k a n n i
b u h s m e r	布 斯 默	bu si mo	b u s i m o
m c c o u b r e y	麦 库 布 里	mai ku bu li	m a i k u b u l i
a r c a r i	阿 尔 卡 里	a er ka li	a e r k a l i
s t r e i b y	斯 特 赖 比	si te lai bi	s i t e l a i b i
b e r n a d e t t e	贝 尔 纳 黛 特	bei er na dai te	b e i e r n a d a i t e
c o v a l e s k y	科 瓦 列 斯 基	ke wa lie si ji	k e w a l i e s i j i
e m b l e m s v a g	恩 布 勒 姆 斯 沃 格	en bu le mu si wo ge	e n b u l e m u s i w o g e
r y m i l l	赖 米 尔	lai mi er	l a i m i e r
s w a n s o n	斯 旺 森	si wang sen	s i w a n g s e n
u m s c h e i d	乌 姆 沙 伊 德	wu mu sha yi de	w u m u s h a y i d e
s o b o t k a	索 博 特 卡	suo bo te ka	s u o b o t e k a
m e r l i n g e r	默 林 杰	mo lin jie	m o l i n j i e
z e r v a s	泽 瓦 斯	ze wa si	z e w a s i
t e n n e y	坦 尼	tan ni	t a n n i
d r u c k	德 鲁 克	de lu ke	d e l u k e
c o r l	科 尔	ke er	k e e r
b a y l y	贝 利	bei li	b e i l i
m e r m a g e n	默 梅 根	mo mei gen	m o m e i g e n
b e l i n g	贝 林	bei lin	b e i l i n
g o r g e r	戈 杰	ge jie	g e j i e
k r u s e r	克 鲁 泽	ke lu ze	k e l u z e
n o m a n	诺 曼	nuo man	n u o m a n
v e n d i t t i	文 迪 蒂	wen di di	w e n d i d i
m a g l i a t o	马 利 亚 托	ma li ya tuo	m a l i y a t u o
k a r p e l e s	卡 珀 利 斯	ka po li si	k a p o l i s i
t o g o	托 戈	tuo ge	t u o g e
y a s t r z e m s k i	亚 斯 切 姆 斯 基	ya si qie mu si ji	y a s i q i e m u s i j i
g a s c o i g n e	加 斯 科 因	jia si ke yin	j i a s i k e y i n
p a q u e t t e	帕 克 特	pa ke te	p a k e t e
b r a n g	布 朗	bu lang	b u l a n g
c o w l a n d	考 兰	kao lan	k a o l a n
b a r d o l p h u s	巴 多 尔 弗 斯	ba duo er fu si	b a d u o e r f u s i
h u d s p e t h	赫 兹 佩 思	he zi pei si	h e z i p e i s i
b o u r g o g n e	布 戈 尼	bu ge ni	b u g e n i
h o l e	霍 尔	huo er	h u o e r
w h i t c h c o t e	惠 奇 科 特	hui qi ke te	h u i q i k e t e
w a c k e r	瓦 克 尔	wa ke er	w a k e e r
k e s w i c k	凯 瑟 克	kai se ke	k a i s e k e
t r a c t	特 拉 克 特	te la ke te	t e l a k e t e
b e n t l e y	本 特 利	ben te li	b e n t e l i
g a l e e n e r	加 利 纳	jia li na	j i a l i n a
m c n e a r y	麦 克 尼 亚 里	mai ke ni ya li	m a i k e n i y a l i
g a l e t t i	加 莱 蒂	jia lai di	j i a l a i d i
r e u s s e r	罗 伊 瑟	luo yi se	l u o y i s e
b o p p	博 普	bo pu	b o p u
b a t h r i c k	巴 思 里 克	ba si li ke	b a s i l i k e
s h o u l d e r s	舒 尔 德 斯	shu er de si	s h u e r d e s i
s e i t h	塞 思	sai si	s a i s i
s t a n w a y	斯 坦 韦	si tan wei	s i t a n w e i
c a m r o s e	卡 姆 罗 斯	ka mu luo si	k a m u l u o s i
f e n e l l o	费 内 略	fei nei lve	f e i n e i l v e
m e d e i r o s	梅 代 罗 斯	mei dai luo si	m e i d a i l u o s i
d e r r i c k s o n	德 里 克 森	de li ke sen	d e l i k e s e n
k i l h a m	基 勒 姆	ji le mu	j i l e m u
n a l e s n i k	纳 莱 斯 尼 克	na lai si ni ke	n a l a i s i n i k e
t r e d e n n i c k	特 里 德 尼 克	te li de ni ke	t e l i d e n i k e
f r i s w o l d	弗 里 斯 沃 尔 德	fu li si wo er de	f u l i s i w o e r d e
b r e d i e	布 雷 迪	bu lei di	b u l e i d i
g a r t e n b e r g	加 滕 伯 格	jia teng bo ge	j i a t e n g b o g e
g o t h i e	戈 蒂	ge di	g e d i
p a u l e	葆 拉	bao la	b a o l a
m e n a m i n	梅 纳 明	mei na ming	m e i n a m i n g
v a n s	万 斯	wan si	w a n s i
d i f o r i o	迪 福 里 奥	di fu li ao	d i f u l i a o
b r o g a n	布 罗 根	bu luo gen	b u l u o g e n
h a n g e	汉 格	han ge	h a n g e
w a s s o n	沃 森	wo sen	w o s e n
b e n e d e k	贝 内 德 克	bei nei de ke	b e i n e i d e k e
p e i f f e r	派 弗	pai fu	p a i f u
c a r u t h	卡 鲁 思	ka lu si	k a l u s i
c l a r d y	克 拉 迪	ke la di	k e l a d i
t o r y	托 里	tuo li	t u o l i
f e o d o r a	费 奥 多 拉	fei ao duo la	f e i a o d u o l a
l e v e t t	莱 韦 特	lai wei te	l a i w e i t e
b e n e z e r	贝 尼 泽	bei ni ze	b e i n i z e
f l a x m a n	弗 拉 克 斯 曼	fu la ke si man	f u l a k e s i m a n
b r u g g e r	布 鲁 格	bu lu ge	b u l u g e
b a n c r o f t	班 克 罗 夫 特	ban ke luo fu te	b a n k e l u o f u t e
b y r e r	拜 勒	bai le	b a i l e
r o s s k e e n	罗 斯 金	luo si jin	l u o s i j i n
s k i n n a r d	斯 金 纳 德	si jin na de	s i j i n n a d e
b a y l e s	贝 尔 斯	bei er si	b e i e r s i
h a y t e r	海 特	hai te	h a i t e
c e c c h e t t i	切 凯 蒂	qie kai di	q i e k a i d i
l a v i e r	拉 维 尔	la wei er	l a w e i e r
n o b l i t t	诺 布 利 特	nuo bu li te	n u o b u l i t e
s h o v e l t o n	肖 维 尔 顿	xiao wei er dun	x i a o w e i e r d u n
b o s c h w i t z	博 希 威 茨	bo xi wei ci	b o x i w e i c i
e a g l i n	伊 格 林	yi ge lin	y i g e l i n
g r a f	格 拉 夫	ge la fu	g e l a f u
m e s h e c h	米 谢 克	mi xie ke	m i x i e k e
k n i p m e y e r	尼 普 迈 耶	ni pu mai ye	n i p u m a i y e
m a c c a i g	麦 凯 格	mai kai ge	m a i k a i g e
s n a p p e r	斯 纳 珀	si na po	s i n a p o
l o b i n g i e r	洛 宾 吉	luo bin ji	l u o b i n j i
b o o m e r	布 默	bu mo	b u m o
b i b b	比 布	bi bu	b i b u
c a r l i s l e	卡 莱 尔	ka lai er	k a l a i e r
g a l l i e	加 利	jia li	j i a l i
c a t e s b y	凯 茨 比	kai ci bi	k a i c i b i
k r a s n y	克 拉 斯 尼	ke la si ni	k e l a s i n i
m u l l o	马 洛	ma luo	m a l u o
c o r n e r	科 纳	ke na	k e n a
l a m b a r d	兰 巴 德	lan ba de	l a n b a d e
s h a r l o w	沙 洛	sha luo	s h a l u o
s p a c h t	斯 帕 赫 特	si pa he te	s i p a h e t e
d i m u a n t e s	迪 缪 安 蒂 斯	di mou an di si	d i m o u a n d i s i
g a i s e r	盖 泽	gai ze	g a i z e
d u l a	杜 拉	du la	d u l a
l a f e	莱 夫	lai fu	l a i f u
s t a n d a l o f t	斯 坦 德 洛 夫 特	si tan de luo fu te	s i t a n d e l u o f u t e
g r i e v e s	格 里 夫 斯	ge li fu si	g e l i f u s i
g a r m a t	加 马 特	jia ma te	j i a m a t e
b l u m e n f e l d	布 卢 门 菲 尔 德	bu lu men fei er de	b u l u m e n f e i e r d e
h a u s s l e r	豪 斯 勒	hao si le	h a o s i l e
p u m p h r e y	庞 弗 里	pang fu li	p a n g f u l i
c o e t m o r e	科 特 莫 尔	ke te mo er	k e t e m o e r
t u r n i l l	特 尼 尔	te ni er	t e n i e r
m a h o n e y	马 奥 尼	ma ao ni	m a a o n i
q u i s e n b e r r y	奎 森 伯 里	kui sen bo li	k u i s e n b o l i
c a r o z z a	卡 罗 扎	ka luo zha	k a l u o z h a
c h r i s t e s e n	克 里 斯 蒂 森	ke li si di sen	k e l i s i d i s e n
s h a n k e	尚 克	shang ke	s h a n g k e
c a v e n a h	卡 夫 纳	ka fu na	k a f u n a
f o l l i a r d	福 利 亚 德	fu li ya de	f u l i y a d e
c a l j o u w	卡 尔 乔	ka er qiao	k a e r q i a o
i b b o t t	伊 博 特	yi bo te	y i b o t e
k o b i	科 比	ke bi	k e b i
g o l o m s k i	戈 洛 姆 斯 基	ge luo mu si ji	g e l u o m u s i j i
e s c h b a c h	埃 施 巴 赫	ai shi ba he	a i s h i b a h e
g e t t s	盖 茨	gai ci	g a i c i
k i r s t e e n	柯 尔 斯 廷	ke er si ting	k e e r s i t i n g
f r i e d k i n	弗 里 德 金	fu li de jin	f u l i d e j i n
r o g e r	罗 杰	luo jie	l u o j i e
d e b u t t s	德 巴 茨	de ba ci	d e b a c i
w e i m e r	韦 默	wei mo	w e i m o
k a u f h o l z	考 夫 霍 尔 兹	kao fu huo er zi	k a o f u h u o e r z i
g o s m a n	戈 斯 曼	ge si man	g e s i m a n
r e d h e a d	雷 德 黑 德	lei de hei de	l e i d e h e i d e
a l a s a g e r	奥 拉 萨 杰	ao la sa jie	a o l a s a j i e
l e a d s o n	利 德 森	li de sen	l i d e s e n
a l l e y n i a n	阿 莱 尼 安	a lai ni an	a l a i n i a n
f r o s t	弗 罗 斯 特	fu luo si te	f u l u o s i t e
w o l l e s o n	沃 利 森	wo li sen	w o l i s e n
s c h r i v e r	施 赖 弗	shi lai fu	s h i l a i f u
m a c d o n e l l	麦 克 唐 奈	mai ke tang nai	m a i k e t a n g n a i
k u b o	库 博	ku bo	k u b o
c a u l t o n	考 尔 顿	kao er dun	k a o e r d u n
b r o c k m a n	布 罗 克 曼	bu luo ke man	b u l u o k e m a n
a b z u g	阿 布 朱 格	a bu zhu ge	a b u z h u g e
n i e u w l a n d	纽 兰	niu lan	n i u l a n
b l a s i	布 拉 西	bu la xi	b u l a x i
m i r i a m	米 里 亚 姆	mi li ya mu	m i l i y a m u
e l i e	伊 利	yi li	y i l i
l a g o	拉 戈	la ge	l a g e
h e m m e t e r	赫 米 特	he mi te	h e m i t e
v o l k o v	沃 尔 科 夫	wo er ke fu	w o e r k e f u
c l o r e t y	克 洛 里 蒂	ke luo li di	k e l u o l i d i
r y n e v e l d	赖 尼 维 尔 德	lai ni wei er de	l a i n i w e i e r d e
r a b n e t t	拉 布 内 特	la bu nei te	l a b u n e i t e
g u c k e r	古 克	gu ke	g u k e
p r u s s	普 拉 斯	pu la si	p u l a s i
h a n d b e r g	汉 德 伯 格	han de bo ge	h a n d e b o g e
d a l t r y	多 特 里	duo te li	d u o t e l i
d e m s e t z	德 姆 塞 茨	de mu sai ci	d e m u s a i c i
h a r t l e	哈 特 尔	ha te er	h a t e e r
a r k i n	阿 金	a jin	a j i n
b a s s i n g t h w a i t e	巴 辛 思 韦 特	ba xin si wei te	b a x i n s i w e i t e
g u s e v	古 谢 夫	gu xie fu	g u x i e f u
a m p h l e t t	安 夫 利 特	an fu li te	a n f u l i t e
h e r b i t s	赫 比 茨	he bi ci	h e b i c i
a l t e n b e r n d	阿 尔 滕 本 德	a er teng ben de	a e r t e n g b e n d e
s t a s o n	斯 塔 森	si ta sen	s i t a s e n
u n i s o n	尤 尼 森	you ni sen	y o u n i s e n
t e u b n e r	托 伊 布 纳	tuo yi bu na	t u o y i b u n a
b e b a	比 巴	bi ba	b i b a
h o o n	胡 恩	hu en	h u e n
v i n e	瓦 因	wa yin	w a y i n
l e c k y	莱 基	lai ji	l a i j i
d a n f i e l d	丹 菲 尔 德	dan fei er de	d a n f e i e r d e
r i c h t e r	里 克 特	li ke te	l i k e t e
o b a l l a n c e	奥 巴 兰 斯	ao ba lan si	a o b a l a n s i
l u t k i n	卢 特 金	lu te jin	l u t e j i n
a l l e r t o n	阿 勒 顿	a le dun	a l e d u n
a r l i n	阿 林	a lin	a l i n
o m i d y a r	奥 米 戴 尔	ao mi dai er	a o m i d a i e r
b l a c k l i n	布 莱 克 林	bu lai ke lin	b u l a i k e l i n
d o l b y	多 尔 比	duo er bi	d u o e r b i
m a g i n n i s	马 金 尼 斯	ma jin ni si	m a j i n n i s i
h a n d i c k s o n	汉 迪 克 森	han di ke sen	h a n d i k e s e n
g a s k i n g	加 斯 金	jia si jin	j i a s i j i n
b a r a n c z a k	巴 兰 恰 克	ba lan qia ke	b a l a n q i a k e
c o r d a i n	科 丹	ke dan	k e d a n
s c a l l a n	斯 卡 伦	si ka lun	s i k a l u n
e w e r t	尤 尔 特	you er te	y o u e r t e
a p r i l	阿 普 丽 尔	a pu li er	a p u l i e r
c l e m a n s	克 莱 曼 斯	ke lai man si	k e l a i m a n s i
g a u z z a	高 扎	gao zha	g a o z h a
t a g g a r d	塔 格 德	ta ge de	t a g e d e
m y r d d i n	米 尔 丁	mi er ding	m i e r d i n g
c a l b i c k	卡 尔 比 克	ka er bi ke	k a e r b i k e
o m b e r g	翁 伯 格	weng bo ge	w e n g b o g e
m c p h e e t e r s	麦 克 菲 特 斯	mai ke fei te si	m a i k e f e i t e s i
m e n a r d	梅 纳 德	mei na de	m e i n a d e
a n g l e t o n	安 格 尔 顿	an ge er dun	a n g e e r d u n
s w o a p	斯 沃 普	si wo pu	s i w o p u
s t o h l	斯 托 尔	si tuo er	s i t u o e r
m i l b a n k e	米 尔 班 克	mi er ban ke	m i e r b a n k e
m o w e r	莫 厄 尔	mo e er	m o e e r
c o r s o	科 尔 索	ke er suo	k e e r s u o
l o z e n b y	洛 曾 比	luo zeng bi	l u o z e n g b i
h e i t z	海 茨	hai ci	h a i c i
w i e b e	维 贝	wei bei	w e i b e i
m o l a n d e r	莫 兰 德	mo lan de	m o l a n d e
c o o n t z	孔 茨	kong ci	k o n g c i
b u t o w s k y	布 托 夫 斯 基	bu tuo fu si ji	b u t u o f u s i j i
b a n d o w	班 多	ban duo	b a n d u o
m a c l y s a g h t	麦 克 莱 萨 特	mai ke lai sa te	m a i k e l a i s a t e
t o m a s i n a	托 马 西 纳	tuo ma xi na	t u o m a x i n a
l u b c h e n c o	卢 布 琴 科	lu bu qin ke	l u b u q i n k e
r e n m e l l	伦 梅 尔	lun mei er	l u n m e i e r
b u l l i s	布 利 斯	bu li si	b u l i s i
z u i d e m a	朱 伊 德 马	zhu yi de ma	z h u y i d e m a
f i t z a l a n	菲 查 伦	fei cha lun	f e i c h a l u n
a n d e r e w e	安 德 鲁	an de lu	a n d e l u
b i c k e r s t e t h	比 克 斯 特 思	bi ke si te si	b i k e s i t e s i
s t o v a l l	斯 托 瓦 尔	si tuo wa er	s i t u o w a e r
s h e a r b u r n	希 尔 本	xi er ben	x i e r b e n
h e r r o d	赫 罗 德	he luo de	h e l u o d e
s o b i n	索 宾	suo bin	s u o b i n
h a r d r e s	哈 德 斯	ha de si	h a d e s i
b l a h u t	布 拉 胡 特	bu la hu te	b u l a h u t e
p a i s n e r	佩 斯 纳	pei si na	p e i s i n a
k a e s s	凯 斯	kai si	k a i s i
b e k e y	贝 基	bei ji	b e i j i
b e a u d e t t e	博 德 特	bo de te	b o d e t e
c a r d a l e	卡 代 尔	ka dai er	k a d a i e r
l a p r a d e	拉 普 拉 德	la pu la de	l a p u l a d e
b a r r i o s	巴 里 奥 斯	ba li ao si	b a l i a o s i
b r a n s c u m	布 兰 斯 科 姆	bu lan si ke mu	b u l a n s i k e m u
w i l l s	威 尔 斯	wei er si	w e i e r s i
h u x s o l l	赫 克 索 尔	he ke suo er	h e k e s u o e r
m a o k a k	毛 卡 克	mao ka ke	m a o k a k e
h a l l m a r k	霍 尔 马 克	huo er ma ke	h u o e r m a k e
g u a n d o l o	瓜 恩 多 洛	gua en duo luo	g u a e n d u o l u o
m i l b u r n	米 尔 本	mi er ben	m i e r b e n
g l i e b e r m a n	格 利 伯 曼	ge li bo man	g e l i b o m a n
c a y l e y	凯 利	kai li	k a i l i
b e c h e r	比 彻	bi che	b i c h e
o v e r l a n d	奥 弗 兰	ao fu lan	a o f u l a n
d r i e h a u s	德 里 豪 斯	de li hao si	d e l i h a o s i
d a r i n g	达 林	da lin	d a l i n
d e w a r t	德 瓦 特	de wa te	d e w a t e
w o d i c k a	沃 迪 卡	wo di ka	w o d i k a
b a r t h o l e m e u	巴 托 洛 缪	ba tuo luo mou	b a t u o l u o m o u
m a s	马 斯	ma si	m a s i
b i l p u c h	比 尔 普 克	bi er pu ke	b i e r p u k e
c o l l i n s o n	柯 林 森	ke lin sen	k e l i n s e n
c o l e s c o t t	科 莱 斯 科 特	ke lai si ke te	k e l a i s i k e t e
f l e g e r	弗 莱 格	fu lai ge	f u l a i g e
c i n n a t e r	辛 纳 特	xin na te	x i n n a t e
b o o c h e v e r	布 谢 弗	bu xie fu	b u x i e f u
a l u r e d	阿 留 雷 德	a liu lei de	a l i u l e i d e
l a s c a	拉 斯 卡	la si ka	l a s i k a
d o m a n	多 曼	duo man	d u o m a n
h i t z	希 茨	xi ci	x i c i
d e r e g	德 雷 格	de lei ge	d e l e i g e
k i l r o y	基 尔 罗 伊	ji er luo yi	j i e r l u o y i
k e l l	凯 尔	kai er	k a i e r
h e l y a r	赫 利 亚 尔	he li ya er	h e l i y a e r
j a y c o x	杰 科 克 斯	jie ke ke si	j i e k e k e s i
m i l m o r e	米 尔 莫 尔	mi er mo er	m i e r m o e r
m u h l e n b r u c h	米 伦 布 鲁 赫	mi lun bu lu he	m i l u n b u l u h e
m e r e w o r t h	梅 里 沃 思	mei li wo si	m e i l i w o s i
r e h n	雷 恩	lei en	l e i e n
b a r l e y	巴 利	ba li	b a l i
c h i r o v s k y	奇 罗 夫 斯 基	qi luo fu si ji	q i l u o f u s i j i
c h a u n c e y	昌 西	chang xi	c h a n g x i
b u c c e l l a	布 切 拉	bu qie la	b u q i e l a
g e r e t e n b e r g	格 雷 滕 伯 格	ge lei teng bo ge	g e l e i t e n g b o g e
k u l l m a n n	库 尔 曼	ku er man	k u e r m a n
b l e s s i n g	布 莱 辛	bu lai xin	b u l a i x i n
s c a r f f	斯 卡 夫	si ka fu	s i k a f u
h y w e l	海 韦 尔	hai wei er	h a i w e i e r
m i c h e l m o r e	米 歇 尔 莫 尔	mi xie er mo er	m i x i e e r m o e r
f o r t u n a d o	福 图 纳 多	fu tu na duo	f u t u n a d u o
p r u s i n e r	普 鲁 西 纳	pu lu xi na	p u l u x i n a
b e m b	贝 姆	bei mu	b e i m u
s p i k e s	斯 派 克 斯	si pai ke si	s i p a i k e s i
l e m u e l	莱 缪 尔	lai mou er	l a i m o u e r
h o w e r t o n	豪 尔 顿	hao er dun	h a o e r d u n
l y e r l y	莱 尔 利	lai er li	l a i e r l i
f y v i e	菲 维	fei wei	f e i w e i
w e n g	温	wen	w e n
k o v e n	科 文	ke wen	k e w e n
t o u m e y	图 米	tu mi	t u m i
c e c i	切 奇	qie qi	q i e q i
p r i n a	普 赖 纳	pu lai na	p u l a i n a
v i t t o r i o	维 托 里 奥	wei tuo li ao	w e i t u o l i a o
d o b r i n	多 布 林	duo bu lin	d u o b u l i n
m i n n s	明 斯	ming si	m i n g s i
r u o c c o	罗 科	luo ke	l u o k e
g i a c c o	贾 科	jia ke	j i a k e
e h m e n	埃 门	ai men	a i m e n
a c h i n s t e i n	阿 钦 斯 坦	a qin si tan	a q i n s i t a n
n e d v i l l e	内 德 维 尔	nei de wei er	n e i d e w e i e r
s i m r a l l	西 姆 拉 尔	xi mu la er	x i m u l a e r
a l v i s	阿 尔 维 斯	a er wei si	a e r w e i s i
g a y d o s	盖 多 斯	gai duo si	g a i d u o s i
a i t h n e	安 妮	an ni	a n n i
m u n g o	芒 戈	mang ge	m a n g g e
k r a a t z	克 拉 茨	ke la ci	k e l a c i
c o f f e e n	科 芬	ke fen	k e f e n
k a l l i c k	卡 利 克	ka li ke	k a l i k e
f i l s h i e	菲 尔 希	fei er xi	f e i e r x i
h a m r i c k	哈 姆 里 克	ha mu li ke	h a m u l i k e
w i l s h i r e	威 尔 希 尔	wei er xi er	w e i e r x i e r
b r u e c k n e r	布 吕 克 纳	bu lv ke na	b u l v k e n a
d e a t l y	迪 特 利	di te li	d i t e l i
b e n d i g	本 迪 格	ben di ge	b e n d i g e
p a i n e	佩 因	pei yin	p e i y i n
m c c r i l l i s	麦 克 里 利 斯	mai ke li li si	m a i k e l i l i s i
h a r r i e t	哈 丽 雅 特	ha li ya te	h a l i y a t e
o r r e n	奥 伦	ao lun	a o l u n
n o t e s t e i n	诺 特 斯 坦	nuo te si tan	n u o t e s i t a n
b e u k e m a	比 克 马	bi ke ma	b i k e m a
l a m p l	兰 普 尔	lan pu er	l a n p u e r
m a r g a r e t	玛 格 丽 特	ma ge li te	m a g e l i t e
m o w l a m	莫 勒 姆	mo le mu	m o l e m u
b u e n o	比 诺	bi nuo	b i n u o
s o m b a r t	松 巴 特	song ba te	s o n g b a t e
w o d d i s	沃 迪 斯	wo di si	w o d i s i
v i d a l	维 达 尔	wei da er	w e i d a e r
s k o p i l	斯 科 皮 尔	si ke pi er	s i k e p i e r
j u n g e b l u t	琼 格 布 拉 特	qiong ge bu la te	q i o n g g e b u l a t e
c o n e i n	科 奈 恩	ke nai en	k e n a i e n
g r e e n w o o d	格 林 伍 德	ge lin wu de	g e l i n w u d e
e n g e m a n	恩 格 曼	en ge man	e n g e m a n
l a t t a n y	拉 塔 尼	la ta ni	l a t a n i
a b b i a t i	阿 比 亚 蒂	a bi ya di	a b i y a d i
r o d d i e	罗 迪	luo di	l u o d i
s t r i t t m a t t e r	斯 特 里 特 马 特	si te li te ma te	s i t e l i t e m a t e
m c l a u c h l i n	麦 克 劳 克 林	mai ke lao ke lin	m a i k e l a o k e l i n
y u d k i n	尤 德 金	you de jin	y o u d e j i n
j o h a n n e s o n	约 翰 尼 森	yue han ni sen	y u e h a n n i s e n
b o s s a r d	博 萨 德	bo sa de	b o s a d e
w a e c h t e r	韦 克 特	wei ke te	w e i k e t e
a w b e r y	奥 伯 里	ao bo li	a o b o l i
b a i s e	贝 斯	bei si	b e i s i
m a t t e	马 特	ma te	m a t e
g o d e y	戈 迪	ge di	g e d i
p e n t i n	彭 廷	peng ting	p e n g t i n g
b r u n m a r k	布 伦 马 克	bu lun ma ke	b u l u n m a k e
a t t i c a	阿 蒂 卡	a di ka	a d i k a
a v e z a t h e	阿 夫 扎 特	a fu zha te	a f u z h a t e
e s c u d e r o	埃 斯 库 德 罗	ai si ku de luo	a i s i k u d e l u o
j e h u	杰 休	jie xiu	j i e x i u
b o o z e r	布 泽	bu ze	b u z e
b e n n y h o f f	本 尼 霍 夫	ben ni huo fu	b e n n i h u o f u
a m o n t r e e	阿 蒙 特 里	a meng te li	a m e n g t e l i
c o r d e s m a n	科 德 斯 曼	ke de si man	k e d e s i m a n
p e r k e s	珀 克 斯	po ke si	p o k e s i
w i e c k i n g	威 金	wei jin	w e i j i n
